"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Ghanaian Coast 1702 1895"	"Ghanaian Coast"	1702	1895	3e+06	259000	13500	5112903	-0.284510275488083	0.332403373492132	-0.42287879187356
"Chuuk Islands 1775 1885"	"Chuuk Islands"	1775	1885	14965144.9772727	1720265.20347003	150	6576506.57777778	0.784866467485068	0.0821100029916561	-0.503577094289711
"Chuuk Islands 1886 1948"	"Chuuk Islands"	1886	1948	9200	127	170408.662280702	7400000	-0.0708026010176568	0.594658002963352	-0.631222173294198
"Iceland 1262 1380"	"Iceland"	1262	1380	70000	103000	250	5600000	-0.322178147191218	0.225944800410675	0.591711169974384
"Iceland 930 1261"	"Iceland"	930	1261	32500	103000	250	3400000	-0.13372722476607	0.282439867037406	0.456372505494911
"Kachi Plain -1300 -551"	"Kachi Plain"	-1300	-551	1125	1720265.20347003	170408.662280702	6576506.57777778	-0.128493153482686	-0.225075328632922	0.204868365543601
"Kachi Plain -145 -96"	"Kachi Plain"	-145	-96	60000	105226	170408.662280702	6576506.57777778	-0.683518598581218	0.266916554981182	0.891401259937495
"Kachi Plain -1800 -1301"	"Kachi Plain"	-1800	-1301	14965144.9772727	1720265.20347003	1125	6576506.57777778	0.834257812082447	0.367809566330956	-0.884866945788593
"Kachi Plain -2100 -1801"	"Kachi Plain"	-2100	-1801	14965144.9772727	135000	1e+05	1250000	-0.138874114466359	0.660779200116361	-0.759750290674868
"Kachi Plain -2500 -2101"	"Kachi Plain"	-2500	-2101	14965144.9772727	135000	1e+05	1250000	-0.129047351319776	0.525032937042035	-0.65874732252314
"Kachi Plain -303 -194"	"Kachi Plain"	-303	-194	1.8e+07	4e+06	50000	1700000	-0.804390416427676	0.493454404581236	0.854863089044216
"Kachi Plain -3200 -2501"	"Kachi Plain"	-3200	-2501	14965144.9772727	1720265.20347003	2850	6576506.57777778	0.810992904277614	0.45326632542595	-0.914316401513659
"Kachi Plain -4000 -3201"	"Kachi Plain"	-4000	-3201	14965144.9772727	1720265.20347003	2450	6576506.57777778	0.816952901546846	0.481621801498807	-0.916026739705065
