"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"135","Kansai -9200 -5300","Kansai",-9200,-5300,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-4.44441607986564,3.62771348549688,0.466114381209972,-0.176755250569582,0.955318269560738
"136","Kansai 1185 1333","Kansai",1185,1333,5900000,295000,150000,0,2.04383146608123,-1.32227962135741,1.22635288413824,0.902066782152588,-0.616544339524572
"137","Kansai 1336 1466","Kansai",1336,1466,12500000,295000,40000,3900000,2.7993781651281,-1.01969185706798,-0.033282764018941,0.853902633765599,1.10435113418462
"138","Kansai 1467 1567","Kansai",1467,1567,1.5e+07,15000,40000,6576506.57777778,0.106420779639968,1.44782045089951,-0.74936936632584,3.16434579750877,-0.215844915431512
"139","Kansai 1568 1602","Kansai",1568,1602,1.7e+07,295000,3e+05,6576506.57777778,1.12197690824099,0.101575062335954,0.357760017280479,1.93261452542875,-1.17157213497283
"140","Kansai 1603 1868","Kansai",1603,1868,2.2e+07,295000,570361,6576506.57777778,3.58658153617055,-0.369859980056612,1.54758688668072,1.35340902670901,0.0934267565381655
"141","Kansai 250 537","Kansai",250,537,250000,125000,170408.662280702,90000,-2.74799896656694,0.583028890031654,-0.661353314417297,1.77617822752449,-0.331532129372883
"142","Kansai 538 710","Kansai",538,710,2250000,125000,170408.662280702,5400000,1.44742823777691,-1.71693738349531,0.81893334928693,-0.315015502214631,0.00508109569364187
"143","Kansai 794 1184","Kansai",794,1184,5150000,275000,150000,3243000,1.59401100549098,-2.51867393135614,0.513119226755937,0.568287845876851,-0.246497725181525
"144","Kapuasi Basin 1650 1841","Kapuasi Basin",1650,1841,262.5,1720265.20347003,262.5,4500000,-7.6551502755096,0.188364274056871,0.768961764971915,0.771937145441237,-0.363871546690527
"145","Kapuasi Basin 1842 1987","Kapuasi Basin",1842,1987,14965144.9772727,124450,262.5,4500000,-4.76583889915863,-1.82491604437199,-2.07994751905875,0.314430608600749,1.7039721115588
"146","Konya Plain -1180 -901","Konya Plain",-1180,-901,120000,500,15000,6576506.57777778,-2.3410831425523,0.957912990008021,-1.28386854633622,1.46795064971946,-0.945339922090885
